"","input_low","input_high","costs_low","costs_high","deaths_low","deaths_high","od_deaths_low","od_deaths_high","costs_range","deaths_range","od_deaths_range","name"
"1",9246948,15411580,631349590316.689,708955158226.122,4077555.48530734,4956566.25951829,113790.299757208,121508.324777205,77605567909.4332,879010.77421095,7718.02501999645,"ini_pop_BN_PN"
"2",57840.75,96401.25,669648196982.551,670656551560.259,4514382.99352241,4519738.75130322,117560.822116425,117737.802417988,1008354577.70776,5355.75778080337,176.980301562711,"ini_pop_BN_ACUTE"
"3",4500000,7500000,616986745601.643,723318002941.167,4311586.59951335,4722535.14531226,107308.521245953,127990.10328846,106331257339.524,410948.545798914,20681.5820425077,"ini_pop_BN_CHRONIC"
"4",122346.75,241370,666156647017.439,677818201833.092,4488484.3023035,4571885.19971018,117475.112054331,117983.516457893,11661554815.6523,83400.8974066833,508.404403561552,"ini_pop_BN_CANCER"
"5",5929700,6077480,669260852608.649,671043895934.161,4509376.27802887,4524745.46679676,117593.385223413,117705.239311001,1783043325.5127,15369.1887678886,111.854087588217,"ini_pop_BN_OTHER"
"6",286,7720,670132395086.381,670172353456.43,4513343.87241281,4520777.87241281,117649.312267207,117649.312267207,39958370.0495605,7434,0,"ini_pop_BN_PALLIATIVE"
"7",162225,270375,668632989577.447,671671758965.364,4509599.96900938,4524521.77581624,117359.017505914,117939.607028499,3038769387.91687,14921.8068068689,580.589522585549,"ini_pop_BPO_ACUTE"
"8",2648205,4413675,639708792946.155,700595955596.654,4409211.92906791,4624909.81575772,111236.345333273,124062.27920114,60887162650.4995,215697.886689809,12825.9338678662,"ini_pop_BPO_CHRONIC"
"9",92749.5,154582.5,667106686832.289,673198061710.521,4495607.95245433,4538513.79237129,117512.004054481,117786.620479933,6091374878.23254,42905.8399169603,274.616425451983,"ini_pop_BPO_CANCER"
"10",446152.5,743587.5,667296413575.242,673008334967.568,4501482.90275074,4532638.84207488,117142.5236525,118156.100881913,5711921392.32556,31155.9393241359,1013.5772294129,"ini_pop_BPO_OTHER"
"11",6289.25,22026.275,670114531446.385,670190214812.03,4509192.12241281,4524929.14741281,117649.312267207,117649.312267207,75683365.6453857,15737.0250000004,0,"ini_pop_BPO_PALLIATIVE"
"12",205819.5,343032.5,666094076790.885,674210671751.925,4506890.70817098,4527231.03665464,116541.792348305,118756.832186108,8116594961.04004,20340.3284836588,2215.03983780305,"ini_pop_BPO_MISUSE"
"13",217547.25,362578.75,667365750493.812,672938998049,4501934.36292975,4532187.38189588,113856.837193934,121441.787340479,5573247555.18799,30253.0189661235,7584.95014654448,"ini_pop_BI_ILLICIT"
"14",6750,8250,670121102072.695,670183646470.116,4516904.86676803,4517216.8780576,117610.471986398,117688.152548015,62544397.4212646,312.011289567687,77.6805616167258,"ini_pop_BS_DETOX"
"15",2401,2521,670149888228.13,670154860314.681,4517048.51208343,4517073.23274219,117646.205571882,117652.418962531,4972086.5513916,24.7206587623805,6.21339064848144,"ini_pop_BS_OAT_INI"
"16",64800,79200,669837277827.412,670421014967.962,4515466.66856543,4518420.0373294,117251.865388931,117988.162191603,583737140.549805,2953.36876396742,736.29680267119,"ini_pop_BS_OAT_MAINT"
"17",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BS_OAT_SS"
"18",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BS_SS"
"19",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BO_OD_ILLICIT"
"20",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BO_OD_RX"
"21",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BO_MOD_BI"
"22",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BO_SEVERE_BI"
"23",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BO_SEVERE_BI_OUT"
"24",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BO_OD_DEATH"
"25",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BO_DEATH"
"26",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BR_ILLICIT"
"27",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BR_OAT_INI"
"28",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BR_OAT_MAINT"
"29",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BR_OAT_SS"
"30",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BR_SS"
"31",0,0,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,0,0,0,"ini_pop_BR_OD_ILLICIT"
